repetition,seed,dataset,task,model,encoder,training mode,augmentation,loss,input_size,epochs,batch_size,dice_background_test,dice_foreground_test,mDice_test,iou_background_test,iou_foreground_test,mIoU_test,precision_foreground_test,recall_foreground_test,num_params,trainable_params,gflops,best_epoch,val_mDice_best
1,42,OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,BCE,256x256,50,8,0.8869750552317676,0.7251386002582663,0.8060568264302086,0.8005138302550596,0.5749310127952519,0.6877224191146738,0.7412018425324384,0.7238244125071693,31389165,31389165,49.3249,20,0.8043872479236487
1,123,OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,BCE,256x256,50,8,0.8937863768900142,0.7212628288304105,0.8075246022028082,0.8115674493943944,0.574611256008639,0.6930893532493535,0.7760610786430976,0.6942790391690591,31389165,31389165,49.3249,36,0.8128062179594329
1,2025,OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,BCE,256x256,50,8,0.8906963940928964,0.7181399666211185,0.8044181843014324,0.8066513284164316,0.5681337306604666,0.687392528004506,0.765343114733696,0.6903581224820193,31389165,31389165,49.3249,36,0.8026601509614424
1,42,OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,BCE,256x256,50,8,0.8995634738136741,0.7407192243810963,0.8201413505217608,0.8204626015880528,0.5988078201737475,0.7096352134557331,0.7796262892730096,0.7255767851191408,31389165,31389165,49.3249,42,0.82572715029572
1,123,OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,BCE,256x256,50,8,0.8992928117513657,0.7355154551127377,0.8174041299258962,0.8200489111682948,0.5919120700701195,0.705980488920913,0.7854349788497476,0.7091775161816793,31389165,31389165,49.3249,29,0.8277315678018512
1,2025,OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,BCE,256x256,50,8,0.892950052724165,0.7218278931344256,0.8073889735866996,0.8099722564220428,0.5744038877241752,0.6921880679095492,0.7668115759597105,0.6992164319928955,31389165,31389165,49.3249,36,0.8085809331951719
1,42,OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,DICE,256x256,50,8,0.8846814553527271,0.7519489211194655,0.8183151913039824,0.7983655434320954,0.6088393387549064,0.7036024428465787,0.7176990627365953,0.8047804188202409,31389165,31389165,49.3249,46,0.8202343456672899
1,123,OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,DICE,256x256,50,8,0.8788997495875639,0.7435389827279484,0.8112193661577561,0.7894348602961091,0.5986928229822832,0.6940638383521753,0.7028447354541105,0.8064584412118968,31389165,31389165,49.3249,41,0.8095008279338027
1,2025,OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,DICE,256x256,50,8,0.8950339450555689,0.7708161070066339,0.8329250247162931,0.8149325352381257,0.6336887768086266,0.7243106584338581,0.7422201252158951,0.8146150418940712,31389165,31389165,49.3249,31,0.8294691407319271
1,42,OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,DICE,256x256,50,8,0.8934999774484074,0.761739676927819,0.8276198252159006,0.8116133335758658,0.6226841645205722,0.7171487523352399,0.7388204704312717,0.8004591184503892,31389165,31389165,49.3249,41,0.8299580830516238
1,123,OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,DICE,256x256,50,8,0.8911295612068737,0.7570518237702987,0.8240906898589695,0.8075061067938805,0.6166308101485757,0.7120684578138239,0.7273771600688205,0.8034939814139815,31389165,31389165,49.3249,34,0.8261745030229742
1,2025,OEDB,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,DICE,256x256,50,8,0.9047711412696278,0.7806580320877188,0.8427145836107871,0.8292295419994522,0.6481424782644299,0.7386860041057363,0.7626290299436626,0.8142419577959705,31389165,31389165,49.3249,23,0.8405447439713911
1,42,HE,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,BCE,256x256,50,8,0.8565202551031554,0.8027376270128621,0.8296289417478774,0.774375973586683,0.7056385790722237,0.7400072775505208,0.8380273709694545,0.8216903173399193,31389165,31389165,49.3249,49,0.8109503430314362
1,123,HE,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,BCE,256x256,50,8,0.8591790950960583,0.8083658189961204,0.8337724564252076,0.7765727145252405,0.7130697954446077,0.7448212533085434,0.8235165373594673,0.8410005006801199,31389165,31389165,49.3249,31,0.8196224253624678
1,2025,HE,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,BCE,256x256,50,8,0.85500216619629,0.8157596208431103,0.8353808943872099,0.7732626541155494,0.7208445704093686,0.7470536141483872,0.821900986024627,0.8561079285211033,31389165,31389165,49.3249,22,0.8177851550281048
1,42,HE,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,BCE,256x256,50,8,0.8611824819887126,0.8136887326836586,0.8374356073361856,0.7789094443950388,0.7166860315258856,0.7477977371878094,0.8295870664495009,0.8436158492333359,31389165,31389165,49.3249,28,0.8200842579826713
1,123,HE,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,BCE,256x256,50,8,0.8560097095746271,0.8118660087938662,0.8339378575483958,0.7725831179448438,0.7141718791038901,0.743377497571486,0.8280470628981237,0.8410971139040259,31389165,31389165,49.3249,36,0.8162184152752161
1,2025,HE,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,False,BCE,256x256,50,8,0.8592186108852427,0.8120673979322116,0.8356430031635144,0.7768573691551056,0.7181861020624638,0.7475217346791868,0.8195745962637442,0.8498847025412101,31389165,31389165,49.3249,32,0.8260202230885625
1,42,HE,segmentacao_binaria,AttentionUNet,custom_from_scratch,FS,True,DICE,256x256,50,8,0.8383561758393491,0.811589276349103,0.8249727255768247,0.7529128474769768,0.7121289119676307,0.7325208791152195,0.8087019053322297,0.86630994423672,31389165,31389165,49.3249,33,0.7886931756511331
